CLOSED_AT,OPENED_AT,OPEN,HIGH,LOW,CLOSE,VOLUME,COMPONENT,BUCKET
2022-01-01T02:40:59.999Z,2022-01-01T02:40:00Z,46763.99000000,46776.47000000,46759.03000000,46769.47000000,2.12448000,,2022
2022-01-01T02:41:59.999Z,2022-01-01T02:41:00Z,46769.47000000,46792.79000000,46769.46000000,46777.27000000,6.15847000,,2022
2022-01-01T02:42:59.999Z,2022-01-01T02:42:00Z,46779.23000000,46792.53000000,46777.26000000,46788.77000000,4.27687000,,2022
2022-01-01T02:43:59.999Z,2022-01-01T02:43:00Z,46788.77000000,46804.89000000,46788.77000000,46804.86000000,4.75902000,,2022
2022-01-01T02:44:59.999Z,2022-01-01T02:44:00Z,46804.86000000,46804.87000000,46771.05000000,46775.91000000,12.41515000,,2022
2022-01-01T02:45:59.999Z,2022-01-01T02:45:00Z,46775.90000000,46799.58000000,46775.90000000,46799.58000000,9.31117000,,2022
2022-01-01T02:46:59.999Z,2022-01-01T02:46:00Z,46799.58000000,46808.34000000,46794.43000000,46808.34000000,2.91039000,,2022
2022-01-01T02:47:59.999Z,2022-01-01T02:47:00Z,46808.33000000,46834.49000000,46808.33000000,46829.63000000,3.94022000,,2022
2022-01-01T02:48:59.999Z,2022-01-01T02:48:00Z,46829.63000000,46829.63000000,46801.17000000,46815.03000000,8.19843000,,2022
2022-01-01T02:49:59.999Z,2022-01-01T02:49:00Z,46815.02000000,46815.03000000,46800.49000000,46809.58000000,3.53676000,,2022
2022-01-01T02:50:59.999Z,2022-01-01T02:50:00Z,46809.59000000,46812.34000000,46777.25000000,46792.86000000,6.05412000,,2022
2022-01-01T02:51:59.999Z,2022-01-01T02:51:00Z,46792.87000000,46829.05000000,46792.86000000,46826.25000000,3.77910000,,2022
2022-01-01T02:52:59.999Z,2022-01-01T02:52:00Z,46826.26000000,46830.17000000,46814.37000000,46819.26000000,3.85701000,,2022
2022-01-01T02:53:59.999Z,2022-01-01T02:53:00Z,46819.26000000,46826.01000000,46817.83000000,46821.96000000,3.34657000,,2022
2022-01-01T02:54:59.999Z,2022-01-01T02:54:00Z,46821.95000000,46832.53000000,46821.95000000,46825.17000000,9.92292000,,2022
2022-01-01T02:55:59.999Z,2022-01-01T02:55:00Z,46825.16000000,46851.00000000,46825.16000000,46850.21000000,8.33292000,,2022
2022-01-01T02:56:59.999Z,2022-01-01T02:56:00Z,46850.21000000,46860.39000000,46832.71000000,46857.41000000,6.47743000,,2022
2022-01-01T02:57:59.999Z,2022-01-01T02:57:00Z,46857.41000000,46859.31000000,46774.72000000,46775.82000000,14.53365000,,2022
2022-01-01T02:58:59.999Z,2022-01-01T02:58:00Z,46775.82000000,46798.34000000,46773.93000000,46798.34000000,5.31352000,,2022
2022-01-01T02:59:59.999Z,2022-01-01T02:59:00Z,46798.34000000,46821.67000000,46798.33000000,46811.77000000,3.59856000,,2022
2022-01-01T03:00:59.999Z,2022-01-01T03:00:00Z,46811.77000000,46823.11000000,46803.91000000,46818.57000000,4.51292000,,2022
2022-01-01T03:01:59.999Z,2022-01-01T03:01:00Z,46818.57000000,46826.63000000,46810.11000000,46810.11000000,4.74320000,,2022
2022-01-01T03:02:59.999Z,2022-01-01T03:02:00Z,46810.12000000,46819.74000000,46786.24000000,46788.93000000,3.74252000,,2022
2022-01-01T03:03:59.999Z,2022-01-01T03:03:00Z,46788.93000000,46791.25000000,46761.77000000,46761.77000000,5.61115000,,2022
2022-01-01T03:04:59.999Z,2022-01-01T03:04:00Z,46761.77000000,46800.87000000,46760.12000000,46791.99000000,6.43713000,,2022
2022-01-01T03:05:59.999Z,2022-01-01T03:05:00Z,46791.99000000,46793.08000000,46782.35000000,46782.61000000,1.97775000,,2022
2022-01-01T03:06:59.999Z,2022-01-01T03:06:00Z,46782.61000000,46802.61000000,46782.60000000,46799.71000000,2.35504000,,2022
2022-01-01T03:07:59.999Z,2022-01-01T03:07:00Z,46802.59000000,46821.50000000,46797.84000000,46819.87000000,7.23774000,,2022
2022-01-01T03:08:59.999Z,2022-01-01T03:08:00Z,46819.88000000,46819.88000000,46802.80000000,46805.93000000,1.89121000,,2022
2022-01-01T03:09:59.999Z,2022-01-01T03:09:00Z,46805.92000000,46830.99000000,46790.60000000,46830.99000000,8.13918000,,2022
2022-01-01T03:10:59.999Z,2022-01-01T03:10:00Z,46830.99000000,46851.56000000,46828.11000000,46842.47000000,10.85880000,,2022
2022-01-01T03:11:59.999Z,2022-01-01T03:11:00Z,46842.46000000,46846.13000000,46818.86000000,46818.86000000,4.55643000,,2022
2022-01-01T03:12:59.999Z,2022-01-01T03:12:00Z,46818.87000000,46830.17000000,46806.89000000,46830.12000000,4.84161000,,2022
2022-01-01T03:13:59.999Z,2022-01-01T03:13:00Z,46830.12000000,46841.10000000,46806.88000000,46806.89000000,4.83554000,,2022
2022-01-01T03:14:59.999Z,2022-01-01T03:14:00Z,46806.88000000,46833.64000000,46806.88000000,46826.10000000,6.50873000,,2022
